NroCheque,CodigoBanco,CodigoScurusal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado
BIQPGBZT4WN,19,17,XPSF30225841972076,SQJU56428071508423,630.22,1650332424.20669,1657849224.206699,865-50-6891,rechazado
QEJEGBGQ8JT,19,17,XPSF30225841972076,YPLT45992466109352,135.82,1651714824.20673,1658626824.206731,865-50-6891,pendiente
DXCVGBV49GW,19,17,XPSF30225841972076,HHUO69606960271427,517.46,1651369224.206755,1657762824.206757,865-50-6891,rechazado
NKTUGBN9427,19,17,XPSF30225841972076,QPRT00754706381206,701.74,1651542024.206779,1658367624.206781,865-50-6891,pendiente
IBZRGBAFZA5,19,17,XPSF30225841972076,VNKA30089131934421,333.43,1651369224.206803,1657849224.206805,865-50-6891,aceptado
KHXKGBEMOPJ,19,17,XPSF30225841972076,PMUC04714285124000,971.98,1653442824.206827,1657590024.206828,865-50-6891,aceptado
ZROCGBFU65G,19,17,XPSF30225841972076,GVIR55909776582369,509.68,1653356424.206851,1657417224.206852,865-50-6891,aceptado
JRJWGBH9V8N,19,17,XPSF30225841972076,JAEE45551590042294,189.75,1652924424.206874,1658281224.206876,865-50-6891,pendiente
ZTRSGBS2FYU,19,17,XPSF30225841972076,LMRE41730428146546,227.15,1650678024.206897,1658540424.206899,865-50-6891,pendiente
SHJFGBMLCQ4,19,17,XPSF30225841972076,DDRP75517176045229,738.66,1651542024.20692,1657330824.206922,865-50-6891,aceptado
CCVYGBIJCF8,19,17,XPSF30225841972076,MZUC11330601688477,784.42,1650332424.206944,1657330824.206945,865-50-6891,aceptado
VMWQGBR7PN0,19,17,XPSF30225841972076,ZSWV36153492635110,759.27,1652492424.206967,1658540424.206968,865-50-6891,rechazado
SIOPGBWFUH5,19,17,XPSF30225841972076,QOYV31764303921376,973.87,1653615624.20699,1658454024.206992,865-50-6891,rechazado
SUKGGBPBRHO,19,17,XPSF30225841972076,LRED97296687577389,123.75,1652492424.207013,1658540424.207015,865-50-6891,aceptado
LZFKGB1DGJO,19,17,XPSF30225841972076,HAKW55082492694711,208.52,1650764424.207036,1657071624.207038,865-50-6891,aceptado
BSURGBEBHMH,19,17,XPSF30225841972076,QBCH20407522758688,439.23,1651801224.207059,1658626824.207061,865-50-6891,pendiente
MCLDGBCBMLH,19,17,XPSF30225841972076,BSCV89163489676993,831.35,1652838024.207083,1658367624.207084,865-50-6891,aceptado
PGXZGBDB81G,19,17,XPSF30225841972076,ZAVA24894517446660,63.29,1650678024.207106,1657676424.207108,865-50-6891,rechazado
ICHCGBTW1LD,19,17,XPSF30225841972076,FUEH45007627912560,741.84,1650678024.207129,1657503624.207131,865-50-6891,rechazado
QOBTGBGZMQW,19,17,XPSF30225841972076,TOMO01720099251853,645.18,1651628424.207152,1657503624.207154,865-50-6891,pendiente
BTWOGBVHSIY,40,181,ELOU17340797034148,TENW71738640140046,321.15,1652924424.207453,1657590024.207454,393-63-1819,aceptado
ZJXVGBH7MCZ,40,181,QSWM71454391014485,DQHY21644829838168,783.28,1653529224.207476,1657244424.207478,393-63-1819,pendiente
OLYGGB3WECC,40,181,QSWM71454391014485,MXYZ44759221166972,353.73,1651887624.207517,1657158024.207519,393-63-1819,pendiente
PIAQGBNOF67,40,181,QSWM71454391014485,RVJL76377857074270,817.49,1650591624.20754,1658540424.207542,393-63-1819,aceptado
NQJDGBJ11FG,40,181,QSWM71454391014485,TGAL76081160501904,245.44,1651887624.207563,1657762824.207565,393-63-1819,aceptado
NCDNGBJB210,40,181,QSWM71454391014485,UWJX32943167562566,355.01,1650678024.207586,1658454024.207588,393-63-1819,pendiente
APKXGBQFWEH,40,181,QSWM71454391014485,EOWE85232756676337,253.96,1651369224.207609,1657417224.207611,393-63-1819,rechazado
LWALGBWLAOX,40,181,QSWM71454391014485,GSWB60312502394918,370.02,1653097224.207632,1657762824.207633,393-63-1819,rechazado
CTEGGBANHAS,40,181,QSWM71454391014485,YJYL67088697747354,787.78,1653442824.207655,1658022024.207657,393-63-1819,pendiente
LWATGBOJL3H,40,181,QSWM71454391014485,BBBF50402163968373,712.57,1651369224.207678,1657762824.20768,393-63-1819,aceptado
PLWIGBIBNXV,40,181,QSWM71454391014485,KTDT15587540803513,383.41,1652665224.207766,1657158024.207773,393-63-1819,rechazado
PJJRGBULFG8,40,181,QSWM71454391014485,QLGG44486475304810,536.54,1652578824.207822,1657676424.207824,393-63-1819,aceptado
SJFMGBJIOU6,40,181,QSWM71454391014485,OPXO06777111312637,525.07,1651196424.207849,1658799624.20785,393-63-1819,rechazado
HHYFGBSX0CI,40,181,QSWM71454391014485,TCNR60237324556184,939.74,1652924424.207873,1658281224.207874,393-63-1819,pendiente
TAMCGBEI0T9,40,181,QSWM71454391014485,TRZG47897844301912,388.6,1653356424.2079,1657158024.207901,393-63-1819,aceptado
NXESGB1TWFP,40,181,QSWM71454391014485,XNHG40886016419538,674.39,1650505224.207923,1658367624.207925,393-63-1819,pendiente
OULUGB7DY0A,40,181,QSWM71454391014485,VJHX31845357492208,167.34,1652233224.207952,1657590024.207953,393-63-1819,rechazado
NXKOGBNXS4F,40,181,QSWM71454391014485,QKLS02622812379332,664.52,1652406024.207979,1657590024.207981,393-63-1819,aceptado
FZDIGBH9J2Z,40,181,QSWM71454391014485,HYML99271908957740,344.87,1650332424.208003,1658022024.208004,393-63-1819,aceptado
FYNNGBLP3V7,40,181,QSWM71454391014485,HRUF77851429635460,220.23,1652838024.208026,1657590024.208029,393-63-1819,aceptado
XXHKGB2OQWK,80,260,SDQU89664440644888,KKGW62082965708693,837.26,1652233224.208349,1657417224.208351,214-05-5164,pendiente
JALSGB8DJWB,80,260,SDQU89664440644888,ALQF35703934261973,966.8,1651196424.208373,1657762824.208375,214-05-5164,aceptado
PUBAGBPCAOU,80,260,SDQU89664440644888,XWOQ13271664465951,661.65,1651628424.208397,1657244424.208398,214-05-5164,aceptado
CBLVGB1IN21,80,260,SDQU89664440644888,JAPA43666609759294,44.26,1652665224.20842,1658540424.208422,214-05-5164,pendiente
ELJFGBV0YA0,80,260,SDQU89664440644888,KAMP82019550131870,329.99,1650678024.208443,1658454024.208445,214-05-5164,rechazado
IRRZGB3CH0Y,80,260,SDQU89664440644888,KAKM24629264802227,466.74,1653010824.208469,1658540424.208471,214-05-5164,pendiente
FAQEGB6JFVP,80,260,SDQU89664440644888,WUWY08086259118243,877.01,1650332424.208493,1658367624.208494,214-05-5164,pendiente
FHAZGBK9KF1,80,260,SDQU89664440644888,ZIKW44872782092805,502.91,1650764424.208516,1657417224.208517,214-05-5164,pendiente
