NroCheque,CodigoBanco,CodigoSucursal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado
1,66,73,5263292449,4440946976,22.61,1649290626000,1659094486000,41-146-2439,1
1,66,73,5263292450,4440946976,22.61,1649290626000,1659094486000,41-146-2439,1
1,66,73,5263292451,4440946976,22.61,1649290626000,1659094486000,41-146-2439,1
1,66,73,5263292452,4440946976,22.61,1649290626000,1659094486000,41-146-2439,1
2,52,235,7082408560,1075355060,37.05,1628532070000,1658105259000,95-293-8036,2
3,98,167,9384888311,2359328832,6.89,1641376487000,1658093896000,28-669-6510,1
4,14,208,8316431440,4761190205,31.49,1655193128000,1656903793000,37-574-1904,2
5,18,56,8589607119,7196867661,21.05,1655058105000,1657973297000,35-094-9733,0
6,14,217,9937364523,1010933248,18.57,1655950200000,1656869449000,59-028-0357,1
7,92,113,4723031561,5607525732,51.06,1632042549000,1657179225000,78-506-4611,1
8,62,139,9990142513,3812392100,99.3,1634836788000,1657983784000,13-480-5837,0
9,73,88,2544610980,384219888,72.73,1630250617000,1657446075000,20-453-9865,0
10,35,14,1135926956,1301836605,92.66,1630226047000,1657833193000,08-954-3576,1
11,38,189,3171968274,9906145528,37.34,1644103517000,1656814476000,47-426-1000,1
12,77,271,343709600,6958937619,66.37,1644497940000,1658414900000,45-113-8460,1
13,72,209,7017660978,998055050,20.81,1631967851000,1656381661000,56-236-9316,0
14,58,55,1175866229,9476010908,26.14,1638288826000,1656652127000,67-220-6533,2
15,67,151,9454579258,2834361231,54.42,1655552789000,1657992333000,48-746-2899,2
16,33,270,1560203455,262766639,49.24,1641948624000,1657677419000,97-457-0407,0
17,76,170,5589228263,7606531773,77.16,1626106336000,1658914894000,73-232-2204,0
18,45,251,7339655158,4633862103,83.13,1642148965000,1658798954000,20-289-7910,1
19,60,168,3308849828,4241824331,12.88,1628594254000,1656508724000,50-402-7161,1
20,79,94,1741299969,7247337702,56.83,1633990506000,1656559754000,81-821-5361,1
21,24,181,3325777112,8646038564,22.69,1650339233000,1657507268000,83-736-0027,0
22,43,103,5249798268,5462762712,86.49,1636226508000,1656795561000,38-195-2225,1
23,49,77,3770259203,7379924834,79.52,1629232943000,1657883061000,12-249-0288,0
24,89,68,1803168544,4500470980,53.12,1638594515000,1657350025000,70-753-9574,2
25,48,59,7722965601,4408245445,60.66,1626128921000,1658783290000,90-539-6507,2
26,69,81,2893331505,4717970047,73.16,1652329610000,1657737740000,51-211-9263,1
27,93,82,7818933107,4606760281,92.82,1643831649000,1657901358000,93-617-7226,2
28,97,173,48317551,1568026269,4.5,1634997347000,1656832238000,17-674-9853,2
29,15,173,6584691055,8747627468,9.09,1624764854000,1656959942000,23-497-8873,0
30,87,179,6443148304,87638908,28.27,1649892362000,1657007552000,82-837-5853,0
31,80,154,5526112349,3496876255,12.06,1631771299000,1656930847000,24-933-5017,0
32,59,53,1676872167,9559119702,89.62,1646427695000,1659141709000,09-250-1688,1
33,10,113,3612507303,3132179485,21.32,1647344665000,1659211386000,71-568-0096,1
34,32,64,2585098729,3756716767,38.13,1644800437000,1657867982000,57-425-7649,1
35,18,276,4883683214,4819755862,10.99,1647408205000,1656804903000,50-185-9557,0
36,63,18,4169416538,4805018313,44.46,1644397871000,1657124590000,58-512-6419,1
37,57,120,6322717162,486252116,74.93,1648994881000,1657855648000,51-032-2440,2
38,40,28,6344307153,1112881360,32.26,1630852209000,1658130650000,29-004-6559,0
39,23,222,3996694512,597278148,54.51,1641707541000,1658632444000,24-352-8052,0
40,58,277,747215758,8392508092,15.81,1634621536000,1658314406000,77-870-8748,2
41,97,245,1701912376,7299009234,90.05,1629551405000,1657469643000,14-573-5873,1
42,98,193,2029803189,7272763590,9.31,1642903407000,1658401558000,47-236-8267,2
43,42,157,3295035601,1672074444,24.47,1645128868000,1657359890000,86-924-9508,1
44,31,100,6190872816,1767197195,72.68,1633352493000,1656911726000,20-947-3296,2
45,8,223,434586358,6889634802,66.32,1637581743000,1658381219000,31-744-3284,0
46,22,215,6394858234,1235670473,46.26,1655125685000,1657590698000,58-509-2548,0
47,88,174,2383394017,6782662124,83.02,1654337941000,1657131451000,70-448-3439,1
48,13,217,9556405372,7543593572,92.56,1640987628000,1656503278000,63-771-7484,0
49,92,180,1938224175,5741235603,84.36,1633297222000,1657199019000,85-186-7638,1
